MPID,Description
mp-862311,Sc2RuGa is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Ru(1) and four equivalent Ga(1) atoms. All Sc(1)-Ru(1) bond lengths are 2.83 Å. All Sc(1)-Ga(1) bond lengths are 2.83 Å. Ru(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Ga(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-861641,Ti2ReCo is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to four equivalent Re(1) and four equivalent Co(1) atoms. All Ti(1)-Re(1) bond lengths are 2.64 Å. All Ti(1)-Co(1) bond lengths are 2.64 Å. Re(1) is bonded in a body-centered cubic geometry to eight equivalent Ti(1) atoms. Co(1) is bonded in a body-centered cubic geometry to eight equivalent Ti(1) atoms.
mp-865793,LiSc2Rh is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Sc(1) and six equivalent Rh(1) atoms. All Li(1)-Sc(1) bond lengths are 2.84 Å. All Li(1)-Rh(1) bond lengths are 3.28 Å. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Rh(1) atoms. All Sc(1)-Rh(1) bond lengths are 2.84 Å. Rh(1) is bonded in a distorted body-centered cubic geometry to six equivalent Li(1) and eight equivalent Sc(1) atoms.
mp-866037,Rh2NiGa is Heusler structured and crystallizes in the trigonal R-3m space group. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Ni(1) and four equivalent Ga(1) atoms. All Rh(1)-Ni(1) bond lengths are 2.57 Å. There is one shorter (2.55 Å) and three longer (2.57 Å) Rh(1)-Ga(1) bond lengths. Ni(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. Ga(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms.
mp-865278,NbOs2Al is Heusler structured and crystallizes in the cubic Fm-3m space group. Nb(1) is bonded in a body-centered cubic geometry to eight equivalent Os(1) atoms. All Nb(1)-Os(1) bond lengths are 2.69 Å. Os(1) is bonded in a body-centered cubic geometry to four equivalent Nb(1) and four equivalent Al(1) atoms. All Os(1)-Al(1) bond lengths are 2.69 Å. Al(1) is bonded in a body-centered cubic geometry to eight equivalent Os(1) atoms.
mp-866154,BeTiIr2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Be(1) is bonded in a body-centered cubic geometry to eight equivalent Ir(1) atoms. All Be(1)-Ir(1) bond lengths are 2.57 Å. Ti(1) is bonded in a body-centered cubic geometry to eight equivalent Ir(1) atoms. All Ti(1)-Ir(1) bond lengths are 2.57 Å. Ir(1) is bonded in a body-centered cubic geometry to four equivalent Be(1) and four equivalent Ti(1) atoms.
mp-861905,LiPd2Bi is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Pd(1) and six equivalent Bi(1) atoms. All Li(1)-Pd(1) bond lengths are 2.81 Å. All Li(1)-Bi(1) bond lengths are 3.25 Å. Pd(1) is bonded in a distorted body-centered cubic geometry to four equivalent Li(1) and four equivalent Bi(1) atoms. All Pd(1)-Bi(1) bond lengths are 2.81 Å. Bi(1) is bonded in a 14-coordinate geometry to six equivalent Li(1) and eight equivalent Pd(1) atoms.
mp-864844,RhAuZn2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Rh(1) is bonded in a body-centered cubic geometry to eight equivalent Zn(1) atoms. All Rh(1)-Zn(1) bond lengths are 2.65 Å. Au(1) is bonded in a body-centered cubic geometry to eight equivalent Zn(1) atoms. All Au(1)-Zn(1) bond lengths are 2.65 Å. Zn(1) is bonded in a body-centered cubic geometry to four equivalent Rh(1) and four equivalent Au(1) atoms.
mp-867802,Sc2OsCu is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Os(1) and four equivalent Cu(1) atoms. All Sc(1)-Os(1) bond lengths are 2.79 Å. All Sc(1)-Cu(1) bond lengths are 2.79 Å. Os(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Cu(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-867258,LiPd2Zn is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Li(1)-Pd(1) bond lengths are 2.59 Å. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Zn(1) atoms. All Pd(1)-Zn(1) bond lengths are 2.59 Å. Zn(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Pd(1) atoms.
mp-215,"YSb is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Y(1) is bonded to six equivalent Sb(1) atoms to form a mixture of edge and corner-sharing YSb6 octahedra. The corner-sharing octahedra are not tilted. All Y(1)-Sb(1) bond lengths are 3.11 Å. Sb(1) is bonded to six equivalent Y(1) atoms to form a mixture of edge and corner-sharing SbY6 octahedra. The corner-sharing octahedra are not tilted."
mp-865680,TiOs2Si is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to eight equivalent Os(1) atoms. All Ti(1)-Os(1) bond lengths are 2.60 Å. Os(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent Si(1) atoms. All Os(1)-Si(1) bond lengths are 2.60 Å. Si(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Os(1) atoms.
mp-570632,"ScBi is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded to six equivalent Bi(1) atoms to form a mixture of edge and corner-sharing ScBi6 octahedra. The corner-sharing octahedra are not tilted. All Sc(1)-Bi(1) bond lengths are 3.01 Å. Bi(1) is bonded to six equivalent Sc(1) atoms to form a mixture of edge and corner-sharing BiSc6 octahedra. The corner-sharing octahedra are not tilted."
mp-861656,Ti2CrIr is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to four equivalent Cr(1) and four equivalent Ir(1) atoms. All Ti(1)-Cr(1) bond lengths are 2.66 Å. All Ti(1)-Ir(1) bond lengths are 2.66 Å. Cr(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ti(1) and six equivalent Ir(1) atoms. All Cr(1)-Ir(1) bond lengths are 3.07 Å. Ir(1) is bonded in a body-centered cubic geometry to eight equivalent Ti(1) and six equivalent Cr(1) atoms.
mp-864631,LiNbRh2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Li(1)-Rh(1) bond lengths are 2.65 Å. Nb(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Rh(1) atoms. All Nb(1)-Rh(1) bond lengths are 2.65 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Nb(1) atoms.
mp-28084,"Rb2PdBr6 crystallizes in the cubic Fm-3m space group. Rb(1) is bonded to twelve equivalent Br(1) atoms to form RbBr12 cuboctahedra that share corners with twelve equivalent Rb(1)Br12 cuboctahedra, faces with six equivalent Rb(1)Br12 cuboctahedra, and faces with four equivalent Pd(1)Br6 octahedra. All Rb(1)-Br(1) bond lengths are 3.71 Å. Pd(1) is bonded to six equivalent Br(1) atoms to form PdBr6 octahedra that share faces with eight equivalent Rb(1)Br12 cuboctahedra. All Pd(1)-Br(1) bond lengths are 2.49 Å. Br(1) is bonded to four equivalent Rb(1) and one Pd(1) atom to form a mixture of distorted edge, face, and corner-sharing BrRb4Pd square pyramids."
mp-867794,Sc2IrCu is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Ir(1) and four equivalent Cu(1) atoms. All Sc(1)-Ir(1) bond lengths are 2.80 Å. All Sc(1)-Cu(1) bond lengths are 2.80 Å. Ir(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Cu(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-865015,MnRh2Si is Heusler structured and crystallizes in the cubic Fm-3m space group. Mn(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Mn(1)-Rh(1) bond lengths are 2.58 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Mn(1) and four equivalent Si(1) atoms. All Rh(1)-Si(1) bond lengths are 2.58 Å. Si(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Rh(1) atoms.
mp-866073,MgRh2Sn is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) and six equivalent Sn(1) atoms. All Mg(1)-Rh(1) bond lengths are 2.72 Å. All Mg(1)-Sn(1) bond lengths are 3.15 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Sn(1) atoms. All Rh(1)-Sn(1) bond lengths are 2.72 Å. Sn(1) is bonded in a distorted body-centered cubic geometry to six equivalent Mg(1) and eight equivalent Rh(1) atoms.
mp-861629,LiMnPd2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Li(1)-Pd(1) bond lengths are 2.64 Å. Mn(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Pd(1) atoms. All Mn(1)-Pd(1) bond lengths are 2.64 Å. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Mn(1) atoms.
mp-862316,LiBePt2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Pt(1) atoms. All Li(1)-Pt(1) bond lengths are 2.47 Å. Be(1) is bonded in a body-centered cubic geometry to eight equivalent Pt(1) atoms. All Be(1)-Pt(1) bond lengths are 2.47 Å. Pt(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Be(1) atoms.
mp-865919,MgAg2Al is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Ag(1) atoms. All Mg(1)-Ag(1) bond lengths are 2.79 Å. Ag(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Al(1) atoms. All Ag(1)-Al(1) bond lengths are 2.79 Å. Al(1) is bonded in a body-centered cubic geometry to eight equivalent Ag(1) atoms.
mp-30727,Ag2MgCd is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Ag(1) atoms. All Mg(1)-Ag(1) bond lengths are 2.88 Å. Ag(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Cd(1) atoms. All Ag(1)-Cd(1) bond lengths are 2.88 Å. Cd(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ag(1) atoms.
mp-866188,Rh2CdTl is Heusler structured and crystallizes in the cubic Fm-3m space group. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Cd(1) and four equivalent Tl(1) atoms. All Rh(1)-Cd(1) bond lengths are 2.80 Å. All Rh(1)-Tl(1) bond lengths are 2.80 Å. Cd(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. Tl(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms.
mp-863744,Ca2PdAu is Heusler structured and crystallizes in the cubic Fm-3m space group. Ca(1) is bonded in a body-centered cubic geometry to four equivalent Pd(1) and four equivalent Au(1) atoms. All Ca(1)-Pd(1) bond lengths are 3.09 Å. All Ca(1)-Au(1) bond lengths are 3.09 Å. Pd(1) is bonded in a body-centered cubic geometry to eight equivalent Ca(1) atoms. Au(1) is bonded in a body-centered cubic geometry to eight equivalent Ca(1) atoms.
mp-865707,Rh2TiSn is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Ti(1)-Rh(1) bond lengths are 2.73 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent Sn(1) atoms. All Rh(1)-Sn(1) bond lengths are 2.73 Å. Sn(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Rh(1) atoms.
mp-865497,V2ReOs is Heusler structured and crystallizes in the cubic Fm-3m space group. V(1) is bonded in a body-centered cubic geometry to four equivalent Re(1) and four equivalent Os(1) atoms. All V(1)-Re(1) bond lengths are 2.61 Å. All V(1)-Os(1) bond lengths are 2.61 Å. Re(1) is bonded in a distorted body-centered cubic geometry to eight equivalent V(1) atoms. Os(1) is bonded in a body-centered cubic geometry to eight equivalent V(1) atoms.
mp-861645,Ca2MgTl is Heusler structured and crystallizes in the cubic Fm-3m space group. Ca(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Tl(1) atoms. All Ca(1)-Mg(1) bond lengths are 3.35 Å. All Ca(1)-Tl(1) bond lengths are 3.35 Å. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Ca(1) atoms. Tl(1) is bonded in a body-centered cubic geometry to eight equivalent Ca(1) atoms.
mp-636320,Fe2TiGa is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Fe(1) and six equivalent Ga(1) atoms. All Ti(1)-Fe(1) bond lengths are 2.51 Å. All Ti(1)-Ga(1) bond lengths are 2.89 Å. Fe(1) is bonded in a distorted body-centered cubic geometry to four equivalent Ti(1) and four equivalent Ga(1) atoms. All Fe(1)-Ga(1) bond lengths are 2.51 Å. Ga(1) is bonded in a 14-coordinate geometry to six equivalent Ti(1) and eight equivalent Fe(1) atoms.
mp-866165,MgYRh2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Mg(1)-Rh(1) bond lengths are 2.83 Å. Y(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Y(1)-Rh(1) bond lengths are 2.83 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Y(1) atoms.
mp-865183,MgAg2Ga is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Ag(1) and six equivalent Ga(1) atoms. All Mg(1)-Ag(1) bond lengths are 2.81 Å. All Mg(1)-Ga(1) bond lengths are 3.24 Å. Ag(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Ga(1) atoms. All Ag(1)-Ga(1) bond lengths are 2.81 Å. Ga(1) is bonded in a distorted body-centered cubic geometry to six equivalent Mg(1) and eight equivalent Ag(1) atoms.
mp-977580,MgSc2Al is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. All Mg(1)-Sc(1) bond lengths are 3.00 Å. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Al(1) atoms. All Sc(1)-Al(1) bond lengths are 3.00 Å. Al(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-862631,Ba2AuSb is Heusler structured and crystallizes in the cubic Fm-3m space group. Ba(1) is bonded in a body-centered cubic geometry to four equivalent Au(1) and four equivalent Sb(1) atoms. All Ba(1)-Au(1) bond lengths are 3.60 Å. All Ba(1)-Sb(1) bond lengths are 3.60 Å. Au(1) is bonded in a body-centered cubic geometry to eight equivalent Ba(1) atoms. Sb(1) is bonded in a body-centered cubic geometry to eight equivalent Ba(1) atoms.
mp-2291,"NiSi2 is Fluorite structured and crystallizes in the cubic Fm-3m space group. Ni(1) is bonded in a body-centered cubic geometry to eight equivalent Si(1) atoms. All Ni(1)-Si(1) bond lengths are 2.33 Å. Si(1) is bonded to four equivalent Ni(1) and six equivalent Si(1) atoms to form a mixture of distorted edge, face, and corner-sharing SiSi6Ni4 tetrahedra. All Si(1)-Si(1) bond lengths are 2.69 Å."
mp-864840,NbRu2Zn is Heusler structured and crystallizes in the cubic Fm-3m space group. Nb(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms. All Nb(1)-Ru(1) bond lengths are 2.67 Å. Ru(1) is bonded in a body-centered cubic geometry to four equivalent Nb(1) and four equivalent Zn(1) atoms. All Ru(1)-Zn(1) bond lengths are 2.67 Å. Zn(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms.
mp-4612,Co2TiGe is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Co(1) and six equivalent Ge(1) atoms. All Ti(1)-Co(1) bond lengths are 2.51 Å. All Ti(1)-Ge(1) bond lengths are 2.90 Å. Co(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent Ge(1) atoms. All Co(1)-Ge(1) bond lengths are 2.51 Å. Ge(1) is bonded in a distorted body-centered cubic geometry to six equivalent Ti(1) and eight equivalent Co(1) atoms.
mp-865569,Ti2MnIr is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a distorted body-centered cubic geometry to four equivalent Mn(1) and four equivalent Ir(1) atoms. All Ti(1)-Mn(1) bond lengths are 2.63 Å. All Ti(1)-Ir(1) bond lengths are 2.63 Å. Mn(1) is bonded in a 14-coordinate geometry to eight equivalent Ti(1) and six equivalent Ir(1) atoms. All Mn(1)-Ir(1) bond lengths are 3.03 Å. Ir(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ti(1) and six equivalent Mn(1) atoms.
mp-862256,PdAuCu2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Pd(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Cu(1) atoms. All Pd(1)-Cu(1) bond lengths are 2.62 Å. Au(1) is bonded in a body-centered cubic geometry to eight equivalent Cu(1) atoms. All Au(1)-Cu(1) bond lengths are 2.62 Å. Cu(1) is bonded in a body-centered cubic geometry to four equivalent Pd(1) and four equivalent Au(1) atoms.
mp-23475,"Rb2PbCl6 crystallizes in the cubic Fm-3m space group. Rb(1) is bonded to twelve equivalent Cl(1) atoms to form RbCl12 cuboctahedra that share corners with twelve equivalent Rb(1)Cl12 cuboctahedra, faces with six equivalent Rb(1)Cl12 cuboctahedra, and faces with four equivalent Pb(1)Cl6 octahedra. All Rb(1)-Cl(1) bond lengths are 3.63 Å. Pb(1) is bonded to six equivalent Cl(1) atoms to form PbCl6 octahedra that share faces with eight equivalent Rb(1)Cl12 cuboctahedra. All Pb(1)-Cl(1) bond lengths are 2.54 Å. Cl(1) is bonded to four equivalent Rb(1) and one Pb(1) atom to form a mixture of distorted edge, face, and corner-sharing ClRb4Pb square pyramids."
mp-862340,Sc2CuGa is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Cu(1) and four equivalent Ga(1) atoms. All Sc(1)-Cu(1) bond lengths are 2.86 Å. All Sc(1)-Ga(1) bond lengths are 2.86 Å. Cu(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Ga(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-864988,Mn2CrAl is Heusler structured and crystallizes in the cubic Fm-3m space group. Cr(1) is bonded in a body-centered cubic geometry to eight equivalent Mn(1) atoms. All Cr(1)-Mn(1) bond lengths are 2.66 Å. Mn(1) is bonded in a body-centered cubic geometry to four equivalent Cr(1) and four equivalent Al(1) atoms. All Mn(1)-Al(1) bond lengths are 2.66 Å. Al(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Mn(1) atoms.
mp-643243,"Cs2PtH6 crystallizes in the cubic Fm-3m space group. Cs(1) is bonded to twelve equivalent H(1) atoms to form distorted CsH12 cuboctahedra that share corners with twelve equivalent Cs(1)H12 cuboctahedra, faces with six equivalent Cs(1)H12 cuboctahedra, and faces with four equivalent Pt(1)H6 octahedra. All Cs(1)-H(1) bond lengths are 3.23 Å. Pt(1) is bonded to six equivalent H(1) atoms to form PtH6 octahedra that share faces with eight equivalent Cs(1)H12 cuboctahedra. All Pt(1)-H(1) bond lengths are 1.64 Å. H(1) is bonded in a distorted single-bond geometry to four equivalent Cs(1) and one Pt(1) atom."
mp-865966,BeIr2Al is Heusler structured and crystallizes in the cubic Fm-3m space group. Be(1) is bonded in a body-centered cubic geometry to eight equivalent Ir(1) atoms. All Be(1)-Ir(1) bond lengths are 2.52 Å. Ir(1) is bonded in a body-centered cubic geometry to four equivalent Be(1) and four equivalent Al(1) atoms. All Ir(1)-Al(1) bond lengths are 2.52 Å. Al(1) is bonded in a body-centered cubic geometry to eight equivalent Ir(1) atoms.
mp-612118,Kr is Copper structured and crystallizes in the cubic Fm-3m space group. The structure is zero-dimensional and consists of four Kr clusters. Kr(1) is bonded in a 1-coordinate geometry to  atoms.
mp-865020,MgHfIr2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Ir(1) atoms. All Mg(1)-Ir(1) bond lengths are 2.75 Å. Hf(1) is bonded in a body-centered cubic geometry to eight equivalent Ir(1) atoms. All Hf(1)-Ir(1) bond lengths are 2.75 Å. Ir(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Hf(1) atoms.
mp-19962,PtSn2 is Fluorite structured and crystallizes in the cubic Fm-3m space group. Pt(1) is bonded in a body-centered cubic geometry to eight equivalent Sn(1) atoms. All Pt(1)-Sn(1) bond lengths are 2.81 Å. Sn(1) is bonded to four equivalent Pt(1) atoms to form a mixture of edge and corner-sharing SnPt4 tetrahedra.
mp-862695,RuCoAl2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Ru(1) is bonded in a body-centered cubic geometry to eight equivalent Al(1) atoms. All Ru(1)-Al(1) bond lengths are 2.52 Å. Co(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Al(1) atoms. All Co(1)-Al(1) bond lengths are 2.52 Å. Al(1) is bonded in a body-centered cubic geometry to four equivalent Ru(1) and four equivalent Co(1) atoms.
mp-4664,Rh2MnGe is Heusler structured and crystallizes in the cubic Fm-3m space group. Mn(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Mn(1)-Rh(1) bond lengths are 2.62 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Mn(1) and four equivalent Ge(1) atoms. All Rh(1)-Ge(1) bond lengths are 2.62 Å. Ge(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Rh(1) atoms.
mp-10887,AlCu2Hf is Heusler structured and crystallizes in the cubic Fm-3m space group. Hf(1) is bonded in a body-centered cubic geometry to eight equivalent Cu(1) atoms. All Hf(1)-Cu(1) bond lengths are 2.66 Å. Cu(1) is bonded in a body-centered cubic geometry to four equivalent Hf(1) and four equivalent Al(1) atoms. All Cu(1)-Al(1) bond lengths are 2.66 Å. Al(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Cu(1) atoms.
mp-540957,"Cs2TeI6 crystallizes in the cubic Fm-3m space group. Cs(1) is bonded to twelve equivalent I(1) atoms to form CsI12 cuboctahedra that share corners with twelve equivalent Cs(1)I12 cuboctahedra, faces with six equivalent Cs(1)I12 cuboctahedra, and faces with four equivalent Te(1)I6 octahedra. All Cs(1)-I(1) bond lengths are 4.19 Å. Te(1) is bonded to six equivalent I(1) atoms to form TeI6 octahedra that share faces with eight equivalent Cs(1)I12 cuboctahedra. All Te(1)-I(1) bond lengths are 2.96 Å. I(1) is bonded to four equivalent Cs(1) and one Te(1) atom to form a mixture of edge, face, and corner-sharing ICs4Te square pyramids."
mp-865522,YAu2Cd is Heusler structured and crystallizes in the cubic Fm-3m space group. Y(1) is bonded in a body-centered cubic geometry to eight equivalent Au(1) atoms. All Y(1)-Au(1) bond lengths are 3.00 Å. Au(1) is bonded in a body-centered cubic geometry to four equivalent Y(1) and four equivalent Cd(1) atoms. All Au(1)-Cd(1) bond lengths are 3.00 Å. Cd(1) is bonded in a body-centered cubic geometry to eight equivalent Au(1) atoms.
mp-865768,Ti2MnOs is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a distorted body-centered cubic geometry to four equivalent Mn(1) and four equivalent Os(1) atoms. All Ti(1)-Mn(1) bond lengths are 2.64 Å. All Ti(1)-Os(1) bond lengths are 2.64 Å. Mn(1) is bonded in a 14-coordinate geometry to eight equivalent Ti(1) and six equivalent Os(1) atoms. All Mn(1)-Os(1) bond lengths are 3.05 Å. Os(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ti(1) and six equivalent Mn(1) atoms.
mp-864907,MgZrPd2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Mg(1)-Pd(1) bond lengths are 2.82 Å. Zr(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Zr(1)-Pd(1) bond lengths are 2.82 Å. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Zr(1) atoms.
mp-862781,CrRu2Al is Heusler structured and crystallizes in the cubic Fm-3m space group. Cr(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms. All Cr(1)-Ru(1) bond lengths are 2.57 Å. Ru(1) is bonded in a body-centered cubic geometry to four equivalent Cr(1) and four equivalent Al(1) atoms. All Ru(1)-Al(1) bond lengths are 2.57 Å. Al(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms.
mp-865901,BeCo2Si is Heusler structured and crystallizes in the cubic Fm-3m space group. Be(1) is bonded in a body-centered cubic geometry to eight equivalent Co(1) and six equivalent Si(1) atoms. All Be(1)-Co(1) bond lengths are 2.30 Å. All Be(1)-Si(1) bond lengths are 2.65 Å. Co(1) is bonded in a distorted body-centered cubic geometry to four equivalent Be(1) and four equivalent Si(1) atoms. All Co(1)-Si(1) bond lengths are 2.30 Å. Si(1) is bonded in a 14-coordinate geometry to six equivalent Be(1) and eight equivalent Co(1) atoms.
mp-867834,LiHfPt2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Pt(1) atoms. All Li(1)-Pt(1) bond lengths are 2.74 Å. Hf(1) is bonded in a body-centered cubic geometry to eight equivalent Pt(1) atoms. All Hf(1)-Pt(1) bond lengths are 2.74 Å. Pt(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Hf(1) atoms.
mp-2286,Li2Se is Fluorite structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded to four equivalent Se(1) atoms to form a mixture of edge and corner-sharing LiSe4 tetrahedra. All Li(1)-Se(1) bond lengths are 2.58 Å. Se(1) is bonded in a body-centered cubic geometry to eight equivalent Li(1) atoms.
mp-22922,"AgCl is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Ag(1) is bonded to six equivalent Cl(1) atoms to form a mixture of edge and corner-sharing AgCl6 octahedra. The corner-sharing octahedra are not tilted. All Ag(1)-Cl(1) bond lengths are 2.77 Å. Cl(1) is bonded to six equivalent Ag(1) atoms to form a mixture of edge and corner-sharing ClAg6 octahedra. The corner-sharing octahedra are not tilted."
mp-8772,ScB12 crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a 24-coordinate geometry to twenty-four equivalent B(1) atoms. All Sc(1)-B(1) bond lengths are 2.75 Å. B(1) is bonded in a 7-coordinate geometry to two equivalent Sc(1) and five equivalent B(1) atoms. There is one shorter (1.69 Å) and four longer (1.77 Å) B(1)-B(1) bond lengths.
